description,iSIC_code,naf_code
Manufacture of fibre optic cables,2731,27.31
Manufacture of other electronic and electric wires and cables,2732,27.32
Manufacture of wiring devices,2733,27.33
Manufacture of electric lighting equipment,274,27.4
Manufacture of electric lighting equipment,2740,27.40
Manufacture of domestic appliances,275,27.5
Manufacture of domestic appliances,2750,27.51
Manufacture of other electrical equipment,279,27.9
Manufacture of other electrical equipment,2790,27.90
Manufacture of machinery and equipment n.e.c.,28,28
Manufacture of general-purpose machinery,281,28.1
"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines",2811,28.11
Manufacture of fluid power equipment,2812,28.12
"Manufacture of other pumps, compressors, taps and valves",2813,28.13
"Manufacture of bearings, gears, gearing and driving elements",2814,28.15
"Manufacture of ovens, furnaces and furnace burners",2815,28.21
Manufacture of lifting and handling equipment,2816,28.22
Manufacture of office machinery and equipment (except computers and peripheral equipment),2817,28.23
Manufacture of power-driven hand tools,2818,28.24
Manufacture of other general-purpose machinery,2819,28.29
Manufacture of special-purpose machinery,282,28.3
Manufacture of agricultural and forestry machinery,2821,28.30
Manufacture of metal-forming machinery and machine tools,2822,28.41
Manufacture of machinery for metallurgy,2823,28.91
"Manufacture of machinery for mining, quarrying and construction",2824,28.92
"Manufacture of machinery for food, beverage and tobacco processing",2825,28.93
"Manufacture of machinery for textile, apparel and leather production",2826,28.94
Manufacture of other special-purpose machinery,2829,28.99
"Manufacture of motor vehicles, trailers and semi-trailers",29,29
Manufacture of motor vehicles,291,29.1
Manufacture of motor vehicles,2910,29.10
Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers,292,29.2
Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers,2920,29.20
Manufacture of parts and accessories for motor vehicles,293,29.3
Manufacture of parts and accessories for motor vehicles,2930,29.31
Manufacture of other transport equipment,30,30
Building of ships and boats,301,30.1
Building of ships and floating structures,3011,30.11
Building of pleasure and sporting boats,3012,30.12
Manufacture of railway locomotives and rolling stock,302,30.2
Manufacture of railway locomotives and rolling stock,3020,30.20
Manufacture of air and spacecraft and related machinery,303,30.3
Manufacture of air and spacecraft and related machinery,3030,30.30
Manufacture of military fighting vehicles,304,30.4
Manufacture of military fighting vehicles,3040,30.40
Manufacture of transport equipment n.e.c.,309,30.9
Manufacture of motorcycles,3091,30.91
Manufacture of bicycles and invalid carriages,3092,30.92
Manufacture of other transport equipment n.e.c.,3099,30.99
Manufacture of furniture,31,31
Manufacture of furniture,310,31.0
Manufacture of furniture,3100,31.01
Other manufacturing,32,32.99
"Manufacture of jewellery, bijouterie and related articles",321,32.1
Manufacture of jewellery and related articles,3211,32.12
Manufacture of imitation jewellery and related articles,3212,32.13
Manufacture of musical instruments,322,32.2
Manufacture of musical instruments,3220,32.20
Manufacture of sports goods,323,32.3
Manufacture of sports goods,3230,32.30
Manufacture of games and toys,324,32.4
Manufacture of games and toys,3240,32.40
Manufacture of medical and dental instruments and supplies,325,32.5
Manufacture of medical and dental instruments and supplies,3250,32.50
Other manufacturing n.e.c.,329,32.9
Other manufacturing n.e.c.,3290,32.99
Repair and installation of machinery and equipment,33,33
"Repair of fabricated metal products, machinery and equipment",331,33.1
Repair of fabricated metal products,3311,33.11
Repair of machinery,3312,33.12
Repair of electronic and optical equipment,3313,33.13
Repair of electrical equipment,3314,33.14
"Repair of transport equipment, except motor vehicles",3315,33.15
Repair of other equipment,3319,33.19
Installation of industrial machinery and equipment,332,33.2
Installation of industrial machinery and equipment,3320,33.20
"Electricity, gas, steam and air conditioning supply",35,35
"Electric power generation, transmission and distribution",351,35.1
"Electric power generation, transmission and distribution",3510,35.11
Manufacture of gas; distribution of gaseous fuels through mains,352,35.2
Manufacture of gas; distribution of gaseous fuels through mains,3520,35.21
Steam and air conditioning supply,353,35.3
Steam and air conditioning supply,3530,35.30
"Water collection, treatment and supply",36,36
"Water collection, treatment and supply",360,36.0
"Water collection, treatment and supply",3600,36.00
Sewerage,37,37
Sewerage,370,37.0
Sewerage,3700,37.00
"Waste collection, treatment and disposal activities; materials recovery",38,38
Waste collection,381,38.1
Collection of non-hazardous waste,3811,38.11
Collection of hazardous waste,3812,38.12
Waste treatment and disposal,382,38.2
Treatment and disposal of non-hazardous waste,3821,38.21
Treatment and disposal of hazardous waste,3822,38.22
Materials recovery,383,38.3
Materials recovery,3830,38.31
Remediation activities and other waste management services,39,39
Remediation activities and other waste management services,390,39.0
Remediation activities and other waste management services,3900,39.00
Construction of buildings,41,41
Construction of buildings,410,41.1
Construction of buildings,4100,41.10
Civil engineering,42,42
Construction of roads and railways,421,42.1
Construction of roads and railways,4210,42.11
Construction of utility projects,422,42.2
Construction of utility projects,4220,42.21
Construction of other civil engineering projects,429,42.9
Construction of other civil engineering projects,4290,42.99
Specialized construction activities,43,43
Demolition and site preparation,431,43.1
Demolition,4311,43.11
Site preparation,4312,43.12
"Electrical, plumbing and other construction installation activities",432,43.2
Electrical installation,4321,43.21
"Plumbing, heat and air-conditioning installation",4322,43.22
